mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
10,68,20,0,0,0,0,10,0,,0,1,1,,,,4,,400,1,10,0,1,0,0,0,0
7,41,47,0,0,0,1,2,5,26,5,1,0,5,66,24,,5,2209,1,2,0,1,0,0,0,1
10,68,20,0,0,0,1,8,0,,0,1,0,,,,3,,400,1,8,0,0,0,0,0,0
7,52,36,0,1,0,0,0,7,13,6,1,0,,,,6,,1296,1,0,1,0,0,0,1,0
9,68,20,0,1,0,0,7,2,18,2,1,0,,,,2,,400,1,7,1,0,0,0,0,0
4,70,18,0,1,0,0,6,2,13,1,1,0,,,,5,,324,1,6,1,0,0,1,0,0
6,57,31,0,0,0,0,0,5,18,4,1,,11,79,22,6,4,961,1,0,0,0,0,1,1,1
11,60,27,0,0,0,0,7,1,20,1,1,1,10,87,26,,4,729,1,7,0,0,0,0,0,1
6,61,27,0,1,0,0,5,3,21,3,1,1,,,,5,,729,1,5,0,1,0,1,0,0
11,72,16,0,0,0,0,6,0,,0,1,0,,,,4,,256,1,6,1,0,0,0,0,0
10,62,26,0,0,0,0,7,0,,0,1,1,3,80,17,6,10,676,1,7,1,0,0,0,0,1
12,56,31,0,1,0,1,4,7,17,7,1,1,12,76,20,7,6,961,1,4,0,0,0,0,0,1
9,69,19,0,1,0,1,10,0,,0,1,1,,,,4,,361,1,10,0,0,0,0,0,0
6,70,18,0,1,0,1,7,0,,0,1,1,,,,8,,324,1,7,0,0,0,1,0,0
6,62,26,0,1,0,1,7,3,18,3,1,1,1,88,25,4,7,676,1,7,1,0,0,1,0,1
6,69,19,0,1,0,0,4,1,19,1,1,1,5,87,17,4,7,361,1,4,1,0,0,1,0,1
1,72,16,0,1,0,0,7,0,,0,1,0,,,,6,,256,1,7,0,0,1,1,0,0
12,63,24,0,1,0,0,7,2,18,2,1,0,11,80,16,0,0,576,1,7,1,0,0,0,0,1
3,67,21,0,1,0,0,8,2,17,2,1,,4,84,17,2,10,441,1,8,1,0,0,1,0,1
3,46,42,0,1,0,0,0,8,18,8,1,,6,64,18,4,6,1764,1,0,1,0,0,1,1,1
12,56,31,0,0,0,0,0,6,18,6,1,1,,,,6,,961,1,0,1,0,0,0,1,0
11,71,17,0,0,0,0,6,1,15,1,1,1,,,,2,,289,1,6,1,0,0,0,0,0
7,71,17,0,0,0,1,6,1,15,1,1,1,,,,5,,289,1,6,0,0,1,0,0,0
3,63,25,0,0,0,1,3,4,14,4,1,1,10,75,12,5,0,625,1,3,0,0,0,1,0,1
3,65,23,0,0,0,0,6,2,20,2,1,0,10,81,16,6,0,529,1,6,1,0,0,1,0,1
7,53,35,0,1,0,0,0,5,19,5,1,0,6,77,23,6,5,1225,1,0,0,0,0,0,1,1
12,55,32,0,0,0,0,7,5,19,5,1,1,9,74,18,7,0,1024,1,7,0,0,0,0,0,1
5,42,46,0,1,0,0,6,4,20,4,1,0,,,,4,,2116,1,6,1,0,0,1,0,0
3,53,35,0,1,0,0,7,3,27,3,1,1,5,80,27,3,7,1225,1,7,1,0,0,1,0,1
4,69,19,0,1,0,0,7,0,,0,1,0,,,,2,,361,1,7,1,0,0,1,0,0
2,57,31,0,0,0,0,5,3,19,3,1,1,7,74,17,3,7,961,1,5,0,0,0,1,0,1
1,42,46,0,1,0,0,0,8,17,7,1,0,10,54,12,8,4,2116,1,0,0,0,0,1,1,1
7,68,20,0,1,0,0,4,2,17,2,1,0,4,84,15,2,7,400,1,4,0,0,0,0,0,1
6,70,18,0,1,0,0,7,0,,0,1,0,,,,4,,324,1,7,0,0,0,1,0,0
7,57,31,0,0,0,0,7,4,22,4,1,1,11,76,19,6,7,961,1,7,1,0,0,0,0,1
7,54,34,0,1,0,1,0,4,23,4,1,0,11,73,19,6,4,1156,1,0,0,0,0,0,1,1
11,60,27,0,0,0,0,0,2,16,2,1,0,10,82,21,3,0,729,1,0,0,0,0,0,1,1
7,64,24,0,1,0,0,2,3,15,3,1,1,,,,5,,576,1,2,1,0,0,0,0,0
1,66,22,0,0,0,0,6,1,18,1,1,0,6,86,20,5,7,484,1,6,0,0,0,1,0,1
8,52,36,0,1,0,1,7,7,19,7,1,1,10,71,19,7,7,1296,1,7,0,0,1,0,0,1
2,72,16,0,1,0,1,7,0,,0,1,0,,,,3,,256,1,7,0,0,1,1,0,0
6,47,41,0,1,0,1,7,6,21,6,1,1,8,77,30,6,7,1681,1,7,0,0,0,1,0,1
10,71,17,0,1,0,1,10,0,,0,1,0,,,,4,,289,1,10,0,0,0,0,0,0
6,60,28,0,1,0,1,0,2,21,2,1,1,9,76,16,3,7,784,1,0,0,0,0,1,1,1
11,68,19,0,1,0,0,11,0,,0,1,0,,,,4,,361,1,11,0,0,0,0,0,0
5,64,24,0,1,0,0,10,0,,0,1,0,11,86,22,4,10,576,1,10,0,0,0,1,0,1
3,51,37,0,1,0,1,2,8,19,8,1,0,7,71,20,6,0,1369,1,2,0,0,0,1,0,1
3,70,18,0,1,1,0,8,0,,0,1,1,,,,3,,324,1,8,0,1,0,1,0,0
4,58,30,0,0,0,0,5,5,17,5,1,1,9,77,19,5,2,900,1,5,1,0,0,1,0,1
4,68,20,0,1,0,0,10,1,20,1,1,0,8,85,17,4,7,400,1,10,1,0,0,1,0,1
6,70,18,0,1,0,0,7,1,18,1,1,0,,,,4,,324,1,7,0,0,0,1,0,0
4,58,30,0,1,0,1,0,9,11,9,1,1,5,68,10,10,0,900,1,0,1,0,0,1,1,1
2,40,48,1,1,0,0,12,2,26,0,1,0,11,65,25,6,0,2304,1,12,0,1,0,1,0,1
7,68,20,0,0,0,0,4,0,,0,1,0,1,87,18,10,7,400,1,4,0,0,0,0,0,1
11,64,23,0,0,0,0,2,2,17,1,1,0,5,85,20,5,10,529,1,2,0,0,0,0,0,1
4,63,25,1,1,1,0,7,3,14,3,1,1,11,85,22,4,10,625,1,7,0,0,0,1,0,1
6,40,48,0,1,0,0,4,4,15,4,1,0,2,70,29,4,0,2304,1,4,1,0,0,1,0,1
7,72,16,0,1,0,1,9,0,,0,0,0,,,,10,,256,1,9,1,0,0,0,0,0
7,49,39,0,1,0,0,4,6,12,5,1,1,12,80,31,7,7,1521,1,4,0,0,1,0,0,1
2,58,30,0,1,0,0,7,0,,0,1,0,10,87,29,4,,900,1,7,0,1,0,1,0,1
7,62,26,0,1,0,0,8,4,17,3,1,1,1,87,24,4,10,676,1,8,0,0,1,0,0,1
1,56,32,0,1,0,1,3,4,18,4,1,1,2,84,28,6,5,1024,1,3,0,1,0,1,0,1
2,60,28,0,0,0,0,9,2,23,0,1,1,,,,4,,784,1,9,1,0,0,1,0,0
1,65,23,0,0,0,1,7,3,19,3,1,1,1,83,18,6,10,529,1,7,1,0,0,1,0,1
12,65,22,0,1,0,0,7,1,18,1,1,1,,,,4,,484,1,7,1,0,0,0,0,0
7,67,21,0,1,0,0,6,1,17,1,1,1,2,84,16,4,7,441,1,6,0,0,0,0,0,1
6,63,25,0,1,0,0,12,2,21,2,1,1,6,88,25,0,10,625,1,12,1,0,0,1,0,1
3,69,19,0,1,0,0,3,1,17,1,1,0,,,,1,,361,1,3,1,0,0,1,0,0
5,66,22,0,1,0,0,7,2,18,2,1,1,,,,1,,484,1,7,0,0,0,1,0,0
3,70,18,0,1,0,0,6,0,,0,1,0,,,,4,,324,1,6,0,0,1,1,0,0
7,64,24,0,1,0,0,10,0,,0,1,1,,,,2,,576,1,10,1,0,0,0,0,0
9,69,18,0,1,0,0,9,0,,0,1,1,,,,4,,324,1,9,1,0,0,0,0,0
12,57,30,0,0,0,0,0,3,18,3,1,1,,,,4,,900,1,0,1,0,0,0,1,0
8,60,28,0,1,0,0,7,4,18,3,1,1,,,,3,,784,1,7,0,0,0,0,0,0
8,66,22,0,1,0,0,7,2,19,2,1,0,,,,5,,484,1,7,1,0,0,0,0,0
5,51,37,0,1,0,1,0,8,18,8,1,0,11,68,17,8,4,1369,1,0,1,0,0,1,1,1
12,69,18,0,1,0,1,10,0,,0,1,0,,,,2,,324,1,10,1,0,0,0,0,0
6,56,32,0,1,0,0,6,0,,0,1,1,6,79,23,4,7,1024,1,6,1,0,0,1,0,1
6,59,29,0,0,1,0,9,1,23,1,1,0,,,,4,,841,1,9,0,0,1,1,0,0
3,41,47,0,1,0,0,4,5,16,5,1,0,3,85,44,6,7,2209,1,4,1,0,0,1,0,1
4,72,16,0,1,0,0,7,1,16,1,1,0,,,,4,,256,1,7,0,0,0,1,0,0
7,68,20,0,1,0,1,7,1,17,1,1,1,4,86,17,4,10,400,1,7,1,0,0,0,0,1
12,63,24,1,1,0,1,7,1,20,1,1,1,,,,1,,576,1,7,1,0,0,0,0,0
4,57,31,0,1,0,1,0,4,20,4,1,0,6,78,21,4,5,961,1,0,1,0,0,1,1,1
10,69,19,0,1,0,1,10,2,18,2,1,1,,,,5,,361,1,10,1,0,0,0,0,0
4,54,34,0,1,0,1,0,11,16,8,1,0,3,70,15,12,0,1156,1,0,1,0,0,1,1,1
6,61,27,0,1,0,1,0,2,18,2,1,0,,,,,,729,1,0,1,0,0,1,1,0
10,59,29,0,1,0,1,0,6,11,4,1,0,11,69,10,6,10,841,1,0,0,0,0,0,1,1
6,68,20,0,1,0,1,10,1,19,1,1,0,,,,4,,400,1,10,0,0,0,1,0,0
6,58,30,0,1,0,1,4,2,16,2,1,1,6,82,24,3,7,900,1,4,0,0,0,1,0,1
5,62,26,0,1,0,1,5,0,,0,1,0,2,83,20,6,8,676,1,5,0,0,0,1,0,1
6,72,16,0,1,0,1,7,0,,0,1,0,,,,4,,256,1,7,0,1,0,1,0,0
12,62,25,0,1,0,1,7,3,19,3,1,0,,,,4,,625,1,7,1,0,0,0,0,0
10,58,30,0,0,0,0,5,6,16,6,1,1,10,80,22,6,0,900,1,5,1,0,0,0,0,1
5,66,22,0,1,0,1,0,1,22,1,1,0,6,87,21,1,0,484,1,0,0,0,0,1,1,1
3,52,36,0,1,0,0,1,6,19,5,1,1,3,73,21,2,7,1296,1,1,1,0,0,1,0,1
6,70,18,0,1,0,0,7,0,,0,1,0,3,87,16,5,7,324,1,7,1,0,0,1,0,1
6,44,44,0,0,0,0,0,9,16,8,1,1,2,71,26,4,0,1936,1,0,1,0,0,1,1,1
1,71,17,0,0,0,0,7,1,16,1,1,1,,,,2,,289,1,7,1,0,0,1,0,0
7,54,34,0,0,0,0,0,0,,0,1,0,,,,10,,1156,1,0,1,0,0,0,1,0
3,70,18,0,1,0,0,11,0,,0,1,1,,,,2,,324,1,11,0,1,0,1,0,0
10,56,32,0,1,0,0,7,5,16,5,1,1,3,77,20,4,7,1024,1,7,0,1,0,0,0,1
6,58,30,1,1,1,0,12,1,20,1,1,1,,,,2,,900,1,12,0,1,0,1,0,0
6,70,18,1,1,1,0,11,0,,0,1,1,,,,4,,324,1,11,0,1,0,1,0,0
2,58,30,0,1,0,0,10,2,15,2,1,1,10,87,29,4,10,900,1,10,0,0,1,1,0,1
6,40,48,0,1,0,0,7,10,19,9,1,1,9,69,29,10,7,2304,1,7,0,0,1,1,0,1
6,69,19,0,1,0,0,10,0,,0,1,0,,,,4,,361,1,10,0,0,1,1,0,0
3,73,15,0,1,0,0,7,0,,0,1,0,,,,5,,225,1,7,0,0,1,1,0,0
9,58,30,0,1,0,0,8,2,18,2,1,1,,,,2,,900,1,8,0,0,1,0,0,0
12,67,20,1,1,1,1,8,0,,0,1,0,,,,2,,400,1,8,0,1,0,0,0,0
1,73,15,1,1,1,1,8,0,,0,1,0,,,,2,,225,1,8,0,1,0,1,0,0
7,59,29,0,0,0,0,10,8,19,8,1,0,8,84,25,8,10,841,1,10,0,1,0,0,0,1
11,68,19,0,0,0,0,4,1,13,0,1,0,2,88,19,3,10,361,1,4,1,0,0,0,0,1
9,66,21,0,0,0,0,7,2,18,2,1,1,1,88,21,4,7,441,1,7,0,0,0,0,0,1
8,66,22,0,0,0,0,7,2,16,2,1,1,8,84,18,6,7,484,1,7,0,0,0,0,0,1
1,52,36,0,0,0,0,0,6,16,6,1,1,1,84,32,8,4,1296,1,0,0,0,0,1,1,1
12,69,18,0,1,0,0,7,0,,0,1,0,,,,4,,324,1,7,1,0,0,0,0,0
3,72,16,0,1,0,0,8,0,,0,1,0,,,,5,,256,1,8,1,0,0,1,0,0
11,57,30,0,1,0,0,7,3,18,3,1,1,10,76,18,3,,900,1,7,0,1,0,0,0,1
6,53,35,0,1,0,0,7,2,23,2,1,1,11,87,34,3,0,1225,1,7,1,0,0,1,0,1
9,49,38,0,1,0,0,7,6,17,6,1,1,6,80,30,2,7,1444,1,7,1,0,0,0,0,1
8,67,21,0,1,0,0,10,0,,0,1,1,,,,4,,441,1,10,0,0,0,0,0,0
12,61,26,0,1,0,1,10,2,17,2,1,1,,,,5,,676,1,10,1,0,0,0,0,0
6,46,42,0,1,0,1,6,8,18,8,1,1,9,67,21,4,1,1764,1,6,1,0,0,1,0,1
2,70,18,0,1,0,1,9,0,,0,1,0,,,,5,,324,1,9,1,0,0,1,0,0
7,71,17,0,1,0,1,8,0,,0,1,0,,,,3,,289,1,8,1,0,0,0,0,0
12,68,19,0,1,0,1,7,0,,0,1,0,,,,6,,361,1,7,0,0,1,0,0,0
1,52,36,0,0,0,0,7,6,21,5,1,1,,,,6,,1296,1,7,1,0,0,1,0,0
4,72,16,0,1,0,1,5,0,,0,1,0,,,,3,,256,1,5,0,0,0,1,0,0
8,64,24,0,0,0,0,7,1,18,1,1,1,,,,6,,576,1,7,1,0,0,0,0,0
9,64,23,0,0,0,1,7,1,17,1,1,1,,,,4,,529,1,7,0,0,0,0,0,0
9,47,40,0,1,0,1,6,4,21,4,1,1,10,73,26,5,7,1600,1,6,1,0,0,0,0,1
11,60,27,0,1,0,0,6,1,18,1,1,0,,,,8,,729,1,6,1,0,0,0,0,0
9,46,41,0,1,0,0,6,6,23,6,1,1,7,65,18,6,9,1681,1,6,0,1,0,0,0,1
9,66,21,0,1,1,1,10,1,21,1,1,0,,,,4,,441,1,10,0,0,0,0,0,0
8,72,16,0,1,1,1,7,0,,0,1,0,,,,2,,256,1,7,0,1,0,0,0,0
5,71,17,0,1,1,1,7,0,,0,1,0,,,,5,,289,1,7,0,1,0,1,0,0
9,47,40,0,1,0,1,7,9,16,7,1,0,6,60,12,7,7,1600,1,7,0,0,1,0,0,1
11,72,15,0,1,0,0,7,1,15,0,1,1,,,,3,,225,1,7,0,0,1,0,0,0
10,70,17,0,1,0,0,10,0,,0,1,1,,,,4,,289,1,10,1,0,0,0,0,0
7,57,31,0,1,0,0,0,5,18,5,1,0,6,72,14,5,7,961,1,0,1,0,0,0,1,1
2,45,43,0,0,0,0,0,2,18,2,0,0,11,68,23,,7,1849,1,0,0,0,1,1,1,1
5,72,16,0,1,0,1,7,1,16,1,1,1,,,,6,,256,1,7,0,0,0,1,0,0
3,61,27,0,1,0,1,0,4,18,4,1,1,8,74,13,5,2,729,1,0,0,0,0,1,1,1
4,50,38,0,1,0,0,7,3,20,3,1,1,,,,6,,1444,1,7,0,0,1,1,0,0
9,70,17,0,1,0,0,7,0,,0,1,0,,,,2,,289,1,7,0,0,1,0,0,0
6,45,43,0,0,0,0,0,8,19,7,1,1,7,64,19,3,5,1849,1,0,1,0,0,1,1,1
6,61,27,0,0,0,0,10,2,20,2,1,1,,,,2,,729,1,10,1,0,0,1,0,0
11,70,17,0,0,0,0,6,0,,0,1,0,,,,4,,289,1,6,1,0,0,0,0,0
6,70,18,0,1,0,1,4,0,,0,1,0,,,,2,,324,1,4,1,0,0,1,0,0
2,72,16,0,1,0,1,8,0,,0,1,0,,,,2,,256,1,8,1,0,0,1,0,0
6,56,32,0,1,0,1,7,3,17,3,1,1,,,,4,,1024,1,7,1,0,0,1,0,0
9,67,20,0,0,0,1,7,0,,0,1,0,12,84,17,4,7,400,1,7,1,0,0,0,0,1
5,59,29,0,1,0,1,7,2,16,1,1,0,5,75,16,4,10,841,1,7,1,0,0,1,0,1
11,46,41,0,0,0,1,3,6,26,4,1,1,8,62,15,3,10,1681,1,3,1,0,0,0,0,1
8,47,41,0,1,0,0,1,8,14,7,1,1,9,63,16,6,0,1681,1,1,1,0,0,0,0,1
8,55,33,0,1,0,0,5,7,18,7,1,0,12,74,19,5,3,1089,1,5,1,0,0,0,0,1
3,47,41,0,1,0,1,5,5,21,5,1,1,2,69,21,1,2,1681,1,5,0,0,1,1,0,1
3,68,20,0,0,0,0,10,0,,0,1,0,,,,5,,400,1,10,0,0,1,1,0,0
1,59,29,0,1,0,0,5,6,17,6,1,1,7,75,16,4,,841,1,5,1,0,0,1,0,1
11,67,20,0,1,0,0,6,2,16,2,1,0,,,,2,,400,1,6,1,0,0,0,0,0
2,71,17,0,1,0,0,7,0,,0,1,0,,,,3,,289,1,7,1,0,0,1,0,0
12,38,49,1,1,1,0,15,4,26,4,1,1,3,59,20,2,15,2401,1,15,0,0,1,0,0,1
7,52,36,1,1,1,1,13,2,20,2,1,1,10,72,20,2,16,1296,1,13,0,1,0,0,0,1
4,73,15,1,1,1,0,8,0,,0,1,0,,,,2,,225,1,8,0,0,1,1,0,0
9,68,19,0,1,0,1,12,1,18,1,1,1,,,,2,,361,1,12,0,0,1,0,0,0
7,44,44,1,1,1,0,11,2,19,2,1,1,6,63,18,2,15,1936,1,11,0,0,0,0,0,1
4,52,36,1,1,1,1,10,7,20,6,1,1,1,71,18,6,10,1296,1,10,0,1,0,1,0,1
4,68,20,1,1,1,1,5,1,18,1,1,0,,,,3,,400,1,5,1,0,0,1,0,0
9,62,26,0,1,0,1,7,4,17,4,1,1,7,82,19,4,10,676,1,7,1,0,0,0,0,1
6,67,21,0,1,0,1,7,0,,0,1,0,,,,5,,441,1,7,0,1,0,1,0,0
12,54,33,1,1,1,0,7,4,22,4,1,1,9,72,17,4,7,1089,1,7,0,1,0,0,0,1
1,63,25,1,1,1,0,7,1,19,1,1,1,,,,4,,625,1,7,0,1,0,1,0,0
11,62,25,0,1,0,0,7,1,18,1,1,1,9,84,21,3,7,625,1,7,0,0,0,0,0,1
3,52,36,1,1,1,1,7,4,17,4,1,1,11,73,21,4,10,1296,1,7,0,1,0,1,0,1
6,66,22,0,0,0,0,10,1,18,1,1,1,,,,10,,484,1,10,1,0,0,1,0,0
3,68,20,0,1,0,0,12,1,17,1,1,1,2,87,18,2,17,400,1,12,0,0,1,1,0,1
3,59,29,0,1,0,0,3,1,16,1,1,0,8,79,20,8,7,841,1,3,0,0,0,1,0,1
11,61,26,0,1,0,0,10,1,24,1,1,1,,,,2,,676,1,10,1,0,0,0,0,0
3,49,39,1,1,0,0,7,2,22,2,1,,,,,4,,1521,1,7,1,0,0,1,0,0
12,70,17,0,1,0,0,9,0,,0,1,0,,,,4,,289,1,9,0,1,0,0,0,0
3,73,15,0,1,0,0,9,0,,0,1,0,,,,3,,225,1,9,0,1,0,1,0,0
12,66,21,0,1,0,1,2,0,,0,1,0,,,,6,,441,1,2,0,0,0,0,0,0
1,68,20,0,1,0,0,10,1,19,1,1,0,,,,8,,400,1,10,1,0,0,1,0,0
3,62,26,0,1,0,0,2,2,22,2,1,0,11,85,23,5,7,676,1,2,1,0,0,1,0,1
2,70,18,0,1,0,0,7,1,16,1,1,1,,,,3,,324,1,7,0,0,0,1,0,0
7,68,20,0,1,0,0,7,1,18,0,1,1,,,,4,,400,1,7,0,1,0,0,0,0
4,61,27,0,1,0,0,7,3,17,3,1,1,,,,4,,729,1,7,1,0,0,1,0,0
10,44,44,1,1,1,0,3,6,23,4,1,1,,,,4,,1936,1,3,1,0,0,0,0,0
9,66,22,0,0,0,0,7,0,,0,1,1,,,,6,,484,1,7,1,0,0,0,0,0
11,57,30,0,1,0,1,8,4,21,4,1,1,,,,4,,900,1,8,1,0,0,0,0,0
7,71,17,0,1,0,1,9,0,,0,1,0,,,,4,,289,1,9,0,1,0,0,0,0
8,66,22,1,1,1,0,6,1,17,1,1,1,,,,4,,484,1,6,1,0,0,0,0,0
9,62,26,1,1,0,0,10,1,23,1,1,0,,,,4,,676,1,10,1,0,0,0,0,0
8,70,18,1,1,1,0,7,0,,0,1,0,,,,3,,324,1,7,0,0,0,0,0,0
9,72,16,1,1,0,0,7,0,,0,1,0,,,,4,,256,1,7,1,0,0,0,0,0
6,39,49,0,1,0,1,3,1,20,1,1,0,12,80,41,3,0,2401,1,3,1,0,0,1,0,1
2,63,25,0,1,0,1,7,4,17,4,1,1,,,,4,,625,1,7,1,0,0,1,0,0
7,43,45,1,1,0,1,0,8,18,8,1,1,6,68,24,8,6,2025,1,0,1,0,0,0,1,1
8,71,17,1,1,0,1,10,0,,0,1,0,,,,3,,289,1,10,1,0,0,0,0,0
10,63,24,1,1,0,1,10,1,18,1,1,1,1,86,22,4,10,576,1,10,1,0,0,0,0,1
9,50,38,0,1,0,1,7,6,18,5,1,1,,,,6,,1444,1,7,1,0,0,0,0,0
1,73,15,0,1,0,0,6,0,,0,1,0,,,,4,,225,1,6,1,0,0,1,0,0
6,68,20,0,1,0,0,0,1,16,1,1,0,,,,1,,400,1,0,0,0,0,1,1,0
11,41,46,0,1,0,0,0,7,18,7,1,1,3,72,30,10,4,2116,1,0,1,0,0,0,1,1
6,65,23,0,1,0,0,7,2,17,2,1,1,,,,4,,529,1,7,1,0,0,1,0,0
4,66,22,1,0,0,0,7,0,,0,1,0,,,,6,,484,1,7,1,0,0,1,0,0
2,67,21,,1,,0,7,1,18,1,1,1,12,87,20,4,7,441,1,7,1,0,0,1,0,1
6,40,48,0,1,0,0,0,8,18,7,1,0,7,57,17,8,5,2304,1,0,1,0,0,1,1,1
12,69,18,0,1,0,0,7,0,,0,1,0,,,,3,,324,1,7,1,0,0,0,0,0
6,67,21,1,0,0,0,6,1,19,1,1,0,,,,5,,441,1,6,0,0,0,1,0,0
12,69,18,0,1,0,0,7,0,,0,1,0,,,,3,,324,1,7,1,0,0,0,0,0
6,50,38,1,1,0,0,7,3,22,3,1,1,6,76,26,5,10,1444,1,7,0,0,1,1,0,1
1,73,15,1,1,0,0,9,1,15,1,1,0,,,,5,,225,1,9,0,1,0,1,0,0
6,70,18,1,1,0,0,6,0,,0,1,0,,,,5,,324,1,6,0,1,0,1,0,0
10,63,24,1,1,0,1,10,1,19,1,1,1,,,,4,,576,1,10,0,0,1,0,0,0
6,68,20,1,1,0,1,7,0,,0,1,1,,,,2,,400,1,7,1,0,0,1,0,0
2,69,19,1,1,1,0,6,1,18,1,1,0,6,86,17,1,7,361,1,6,0,0,0,1,0,1
2,72,16,0,1,0,1,7,0,,0,1,0,,,,4,,256,1,7,0,0,0,1,0,0
12,52,35,0,1,0,0,3,6,18,6,1,1,6,76,23,7,7,1225,1,3,1,0,0,0,0,1
3,66,22,0,1,0,0,5,2,16,1,1,1,,,,4,,484,1,5,1,0,0,1,0,0
4,69,19,0,1,0,0,2,1,17,1,1,0,,,,6,,361,1,2,1,0,0,1,0,0
7,52,36,0,1,0,0,0,1,34,1,1,0,7,72,20,4,5,1296,1,0,0,0,0,0,1,1
12,55,32,0,1,0,0,7,0,,0,1,0,10,78,22,4,12,1024,1,7,1,0,0,0,0,1
7,46,42,0,1,0,0,3,8,15,6,1,1,8,62,16,5,0,1764,1,3,1,0,0,0,0,1
7,52,36,0,1,0,0,5,5,16,5,1,1,7,74,22,6,10,1296,1,5,1,0,0,0,0,1
11,68,19,0,1,0,0,12,0,,0,1,1,,,,4,,361,1,12,0,1,0,0,0,0
8,70,18,0,1,0,0,7,1,15,1,1,1,11,87,17,4,12,324,1,7,0,1,0,0,0,1
12,72,15,0,1,0,0,6,1,15,1,1,1,,,,3,,225,1,6,0,1,0,0,0,0
6,57,31,0,1,0,1,4,5,19,5,1,1,7,77,20,5,7,961,1,4,0,0,0,1,0,1
5,68,20,0,0,0,0,8,0,,0,1,1,,,,4,,400,1,8,0,0,0,1,0,0
8,44,44,0,1,0,0,8,7,21,7,1,1,6,67,22,4,9,1936,1,8,0,0,1,0,0,1
12,56,31,0,1,0,1,10,5,19,4,1,1,3,78,21,10,7,961,1,10,1,0,0,0,0,1
1,71,17,0,1,0,1,6,0,,0,1,0,,,,3,,289,1,6,1,0,0,1,0,0
6,56,32,0,1,0,0,3,6,17,5,1,1,2,86,29,4,7,1024,1,3,0,1,0,1,0,1
4,63,25,0,1,0,1,6,1,15,1,1,1,,,,6,,625,1,6,0,1,0,1,0,0
2,66,22,1,1,0,1,6,0,,0,1,0,1,87,20,4,1,484,1,6,1,0,0,1,0,1
1,73,15,1,1,0,1,5,0,,0,1,0,,,,2,,225,1,5,0,1,0,1,0,0
4,67,21,1,1,0,1,8,2,17,2,1,1,1,87,19,4,3,441,1,8,0,0,0,1,0,1
1,67,21,0,1,0,0,8,0,,0,1,0,,,,6,,441,1,8,1,0,0,1,0,0
6,42,46,0,0,0,0,1,9,18,8,1,0,1,61,18,6,3,2116,1,1,0,0,0,1,0,1
9,72,16,0,0,0,0,4,0,,0,1,0,,,,2,,256,1,4,0,0,0,0,0,0
6,73,15,0,0,0,0,5,0,,0,0,0,,,,8,,225,1,5,1,0,0,1,0,0
5,65,23,0,1,0,0,4,2,18,2,1,1,6,87,22,4,9,529,1,4,0,0,0,1,0,1
12,72,15,0,1,0,0,7,0,,0,0,0,,,,5,,225,1,7,0,1,0,0,0,0
6,62,26,0,1,0,1,3,4,16,4,1,0,11,79,17,,0,676,1,3,0,0,0,1,0,1
11,58,29,0,1,0,0,7,3,19,3,1,1,11,81,23,4,10,841,1,7,1,0,0,0,0,1
10,62,26,0,1,0,0,10,2,19,1,1,1,8,82,19,4,12,676,1,10,0,1,0,0,0,1
12,59,28,0,0,0,0,7,2,19,2,1,1,12,84,25,,7,784,1,7,1,0,0,0,0,1
6,58,30,0,1,0,1,12,3,19,3,1,1,9,83,25,3,7,900,1,12,0,0,1,1,0,1
6,71,17,1,1,0,1,7,0,,0,1,0,,,,2,,289,1,7,0,0,1,1,0,0
6,70,18,0,0,0,0,8,1,17,1,1,1,1,87,16,6,10,324,1,8,0,0,1,1,0,1
10,61,27,0,1,0,1,10,3,17,3,1,1,,,,4,,729,1,10,1,0,0,0,0,0
6,61,27,0,1,0,1,10,2,18,2,1,1,,,,3,,729,1,10,1,0,0,1,0,0
1,63,25,0,1,0,1,7,3,18,3,1,1,8,86,23,4,0,625,1,7,1,0,0,1,0,1
7,68,20,0,1,0,1,7,1,19,1,1,1,4,88,19,2,9,400,1,7,1,0,0,0,0,1
1,69,19,0,1,0,0,8,1,15,1,1,1,,,,4,,361,1,8,0,0,0,1,0,0
11,70,17,0,1,0,0,10,0,,0,1,1,,,,4,,289,1,10,0,0,0,0,0,0
7,42,46,0,1,0,1,4,7,14,6,1,0,4,86,43,7,12,2116,1,4,1,0,0,0,0,1
11,70,17,0,1,0,1,10,2,16,2,1,1,,,,4,,289,1,10,1,0,0,0,0,0
4,54,34,0,0,0,0,5,4,21,4,1,1,9,76,22,6,7,1156,1,5,1,0,0,1,0,1
5,60,28,0,1,0,1,0,6,17,5,1,1,1,76,15,12,0,784,1,0,1,0,0,1,1,1
8,69,19,0,1,0,1,5,2,16,2,1,1,12,84,15,14,0,361,1,5,0,0,0,0,0,1
6,57,31,0,1,0,0,10,4,21,4,1,0,9,77,20,6,5,961,1,10,1,0,0,1,0,1
3,64,24,0,1,0,0,12,1,24,1,1,1,10,86,22,8,7,576,1,12,1,0,0,1,0,1
12,71,16,0,1,0,0,8,0,,0,1,0,,,,10,,256,1,8,1,0,0,0,0,0
12,71,16,0,1,0,0,8,1,16,1,1,0,,,,8,,256,1,8,1,0,0,0,0,0
