state,district,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,prtystr,rptchall,tenure,lawyer,linexp90,lchexp90,linexp88,lchexp88,incshr90,incshr88,cvote,clinexp,clchexp,cincshr,win88,win90,cwin
MO,3,1,57,63,1455794.0,82077.0,512206.0,202524.0,47,0,14,1,14.191061973571777,11.315413475036621,13.146482467651367,12.218613624572754,94.66294860839844,71.66426849365234,-6,1.0445795059204102,-0.9032001495361328,22.998680114746094,1,1,0
MO,4,1,62,72,306485.0,7137.0,273316.0,,40,1,14,1,12.63292407989502,8.873047828674316,12.518383979797363,,97.72432708740234,,-10,0.11454010009765625,,,1,1,0
MO,6,0,52,59,315922.0,22428.0,341344.0,198617.0,50,0,14,1,12.663250923156738,10.018065452575684,12.740646362304688,12.19913387298584,93.3713607788086,63.2164192199707,-7,-0.07739543914794922,-2.1810684204101562,30.15494155883789,1,1,0
MO,7,0,52,53,182474.0,203265.0,338125.0,215064.0,61,0,2,0,12.114362716674805,12.22226619720459,12.731170654296875,12.278691291809082,47.3050422668457,61.12287139892578,-1,-0.6168079376220703,-0.05642509460449219,-13.817829132080078,1,1,0
MO,8,0,57,58,704447.0,246595.0,768792.0,516239.0,55,0,10,1,13.465167999267578,12.415502548217773,13.552576065063477,13.154325485229492,74.0710678100586,59.82672882080078,-1,-0.08740806579589844,-0.7388229370117188,14.244338989257812,1,1,0
MO,9,1,57,68,238679.0,36045.0,210841.0,9565.0,45,0,14,1,12.382874488830566,10.492523193359375,12.258859634399414,9.165865898132324,86.87956237792969,95.6602783203125,-11,0.12401485443115234,1.3266572952270508,-8.780715942382812,1,1,0
MT,1,1,61,61,345258.0,90238.0,250276.0,58204.0,48,0,12,0,12.752047538757324,11.410205841064453,12.430319786071777,10.971709251403809,79.27925872802734,81.13200378417969,0,0.3217277526855469,0.43849658966064453,-1.8527450561523438,1,1,0
MT,2,0,63,55,310981.0,33883.0,380928.0,394102.0,54,0,14,0,12.647486686706543,10.430668830871582,12.85036563873291,12.88436508178711,90.17496490478516,49.15009689331055,8,-0.2028789520263672,-2.4536962509155273,41.02486801147461,1,1,0
NE,1,0,65,67,223898.0,65064.0,221530.0,96278.0,56,0,12,0,12.31894588470459,11.08312702178955,12.308313369750977,11.474994659423828,77.4835433959961,69.70561218261719,-2,0.010632514953613281,-0.39186763763427734,7.777931213378906,1,1,0
NE,2,1,58,51,929247.0,625716.0,858762.0,1158294.0,42,0,2,1,13.742130279541016,13.346652030944824,13.663247108459473,13.962458610534668,59.76007080078125,42.57501983642578,7,0.07888317108154297,-0.6158065795898438,17.18505096435547,1,1,0
NV,1,1,61,64,705037.0,149778.0,652199.0,147891.0,42,0,4,1,13.466005325317383,11.916909217834473,13.388105392456055,11.904231071472168,82.47831726074219,81.51570129394531,-3,0.07789993286132812,0.012678146362304688,0.962615966796875,1,1,0
NH,2,0,47,57,540605.0,465160.0,730803.0,519336.0,61,0,,,13.200444221496582,13.05013656616211,13.501898765563965,13.160305976867676,53.75062942504883,58.457740783691406,-10,-0.3014545440673828,-0.1101694107055664,-4.707111358642578,1,0,-1
NJ,3,1,49,52,634109.0,115202.0,678647.0,981865.0,37,0,2,1,13.359975814819336,11.65444278717041,13.4278564453125,13.797208786010742,84.6256103515625,40.86974334716797,-3,-0.06788063049316406,-2.142765998840332,43.75586700439453,1,0,-1
NJ,4,0,63,66,292826.0,55772.0,252823.0,53964.0,55,0,10,0,12.587333679199219,10.929027557373047,12.440444946289062,10.896072387695312,84.00105285644531,82.40994262695312,-3,0.14688873291015625,0.032955169677734375,1.5911102294921875,1,1,0
NJ,6,1,51,62,147925.0,8887.0,123632.0,38919.0,46,0,10,0,11.904460906982422,9.092345237731934,11.725064277648926,10.56923770904541,94.33270263671875,76.05735778808594,-11,0.1793966293334961,-1.4768924713134766,18.275344848632812,1,1,0
NJ,9,1,53,68,495219.0,34513.0,403059.0,57260.0,46,0,8,1,13.11275577545166,10.449090957641602,12.906838417053223,10.955357551574707,93.48481750488281,87.56079864501953,-15,0.2059173583984375,-0.5062665939331055,5.924018859863281,1,1,0
NJ,11,0,65,70,694735.0,105031.0,490751.0,,64,0,6,0,13.451285362243652,11.562010765075684,13.103692054748535,,86.8672866821289,,-5,0.3475933074951172,,,1,1,0
NJ,13,0,58,69,730989.0,203147.0,411620.0,,61,0,6,0,13.502153396606445,12.221685409545898,12.927855491638184,,78.2529525756836,,-11,0.5742979049682617,,,1,1,0
NM,1,0,70,51,538273.0,123215.0,559134.0,576677.0,54,0,2,1,13.196121215820312,11.721686363220215,13.23414421081543,13.265037536621094,81.37305450439453,49.22773361206055,19,-0.03802299499511719,-1.543351173400879,32.145320892333984,1,1,0
NM,3,1,74,73,420907.0,20902.0,267633.0,41669.0,54,0,8,0,12.950167655944824,9.947600364685059,12.497371673583984,10.637513160705566,95.26899719238281,86.5280532836914,1,0.45279598236083984,-0.6899127960205078,8.740943908691406,1,1,0
NY,3,1,53,57,458759.0,184513.0,364087.0,90892.0,40,1,8,0,13.036280632019043,12.12547492980957,12.805148124694824,11.417427062988281,71.31649017333984,80.02281188964844,-4,0.23113250732421875,0.7080478668212891,-8.706321716308594,1,1,0
NY,5,0,55,65,618882.0,291412.0,337792.0,35627.0,56,0,10,0,13.33566951751709,12.582493782043457,12.730185508728027,10.48085880279541,67.98704528808594,90.45924377441406,-10,0.6054840087890625,2.101634979248047,-22.472198486328125,1,1,0
NY,15,0,61,61,458486.0,19403.0,602942.0,162157.0,33,0,12,1,13.035684585571289,9.873183250427246,13.309576034545898,11.996320724487305,95.93984985351562,78.80574798583984,0,-0.2738914489746094,-2.1231374740600586,17.13410186767578,1,1,0
NY,17,1,80,84,112722.0,431513.0,170567.0,2851.0,78,0,14,1,11.63267993927002,12.975052833557129,12.046883583068848,7.955425262451172,20.71200942993164,98.35599517822266,-4,-0.4142036437988281,5.019627571105957,-77.64398193359375,1,1,0
NY,21,0,71,75,411614.0,729.0,277680.0,,61,0,22,1,12.927841186523438,6.591673851013184,12.534224510192871,,99.82320404052734,,-4,0.3936166763305664,,,1,1,0
NY,22,0,69,71,497635.0,3473.0,411056.0,10427.0,57,0,18,1,13.117622375488281,8.1527738571167,12.926485061645508,9.252154350280762,99.30693817138672,97.52611541748047,-2,0.19113731384277344,-1.0993804931640625,1.78082275390625,1,1,0
NY,23,1,64,62,149204.0,23299.0,273505.0,174790.0,56,0,2,0,11.913069725036621,10.05616569519043,12.519075393676758,12.071340560913086,86.49356842041016,61.010047912597656,2,-0.6060056686401367,-2.0151748657226562,25.4835205078125,1,1,0
NY,24,0,68,72,240615.0,95100.0,151276.0,15936.0,58,0,12,0,12.390953063964844,11.462684631347656,11.926860809326172,9.676336288452148,71.67240142822266,90.4695816040039,-4,0.4640922546386719,1.7863483428955078,-18.79718017578125,1,1,0
NY,27,0,63,57,340553.0,11779.0,594965.0,645123.0,52,0,2,0,12.738326072692871,9.37407398223877,13.296257972717285,13.377196311950684,96.65684509277344,47.97764205932617,6,-0.5579319000244141,-4.003122329711914,48.679203033447266,1,1,0
NY,28,1,65,93,200047.0,23766.0,172905.0,,47,0,16,1,12.206307411193848,10.076011657714844,12.060497283935547,,89.38131713867188,,-28,0.14581012725830078,,,1,1,0
NY,30,1,59,57,322216.0,24712.0,802886.0,310704.0,45,0,4,0,12.682977676391602,10.115044593811035,13.595968246459961,12.64659595489502,92.87690734863281,72.09888458251953,2,-0.9129905700683594,-2.5315513610839844,20.77802276611328,1,1,0
NY,31,0,57,53,506343.0,100353.0,688382.0,453462.0,56,0,2,0,13.134969711303711,11.516448974609375,13.442099571228027,13.024666786193848,83.45909881591797,60.286869049072266,4,-0.3071298599243164,-1.5082178115844727,23.172229766845703,1,1,0
NY,34,0,70,96,178401.0,6462.0,319098.0,,59,0,4,0,12.091789245605469,8.773694038391113,12.673254013061523,,96.50444030761719,,-26,-0.5814647674560547,,,1,1,0
NC,1,1,65,65,111622.0,20463.0,82147.0,16758.0,46,1,24,0,11.622873306274414,9.926373481750488,11.316266059875488,9.726631164550781,84.50770568847656,83.05646514892578,0,0.3066072463989258,0.19974231719970703,1.4512405395507812,1,1,0
NC,4,1,58,58,793291.0,890838.0,1006641.0,745726.0,44,0,4,0,13.583945274353027,13.699917793273926,13.822129249572754,13.522113800048828,47.10393142700195,57.444644927978516,0,-0.23818397521972656,0.17780399322509766,-10.340713500976562,1,1,0
NC,5,1,59,53,647331.0,174574.0,756115.0,718015.0,40,0,16,0,13.380613327026367,12.070103645324707,13.535948753356934,13.484245300292969,78.75983428955078,51.29228591918945,6,-0.1553354263305664,-1.4141416549682617,27.467548370361328,1,1,0
NC,6,0,67,62,572846.0,33135.0,738088.0,583013.0,61,0,6,1,13.25837230682373,10.408345222473145,13.511817932128906,13.275964736938477,94.5320053100586,55.86915588378906,5,-0.2534456253051758,-2.867619514465332,38.66284942626953,1,1,0
NC,7,1,66,67,153315.0,21131.0,185039.0,,48,0,18,1,11.9402494430542,9.95849609375,12.128321647644043,,87.88679504394531,,-1,-0.18807220458984375,,,1,1,0
NC,8,1,55,52,656383.0,300893.0,581888.0,242782.0,38,1,16,0,13.394499778747559,12.614509582519531,13.274033546447754,12.399919509887695,68.56778717041016,70.56010437011719,3,0.12046623229980469,0.21459007263183594,-1.9923171997070312,1,1,0
NC,10,0,62,61,302006.0,37846.0,302215.0,44329.0,65,0,4,0,12.618202209472656,10.541280746459961,12.61889362335205,10.699394226074219,88.86397552490234,87.20825958251953,1,-0.0006914138793945312,-0.1581134796142578,1.6557159423828125,1,1,0
NC,11,1,49,50,499869.0,523867.0,494092.0,503289.0,40,1,,,13.122101783752441,13.16899299621582,13.110477447509766,13.12891960144043,48.827919006347656,49.538944244384766,-1,0.011624336242675781,0.040073394775390625,-0.7110252380371094,1,0,-1
ND,1,1,65,71,504800.0,284855.0,143210.0,1154.0,43,0,10,0,13.131917953491211,12.559735298156738,11.87206745147705,7.050989627838135,63.92665100097656,99.20063018798828,-6,1.2598505020141602,5.5087456703186035,-35.27397918701172,1,1,0
OH,2,0,64,72,124331.0,5350.0,125682.0,13961.0,62,0,16,0,11.73070240020752,8.58485221862793,11.741510391235352,9.544022560119629,95.8744888305664,90.00236511230469,-8,-0.010807991027832031,-0.9591703414916992,5.872123718261719,1,1,0
OH,6,0,71,74,196934.0,11171.0,884754.0,43485.0,64,0,10,0,12.190624237060547,9.321076393127441,13.69306468963623,10.680171012878418,94.63203430175781,95.31532287597656,-3,-1.5024404525756836,-1.3590946197509766,-0.68328857421875,1,1,0
OH,9,1,78,81,211524.0,200.0,244030.0,47945.0,53,0,8,1,12.262093544006348,5.2983174324035645,12.405046463012695,10.777810096740723,99.9055404663086,83.57907104492188,-3,-0.14295291900634766,-5.479492664337158,16.32646942138672,1,1,0
OH,11,1,66,62,453883.0,72686.0,561070.0,860766.0,44,1,10,1,13.025594711303711,11.193903923034668,13.237601280212402,13.66557788848877,86.19630432128906,39.4609489440918,4,-0.2120065689086914,-2.4716739654541016,46.735355377197266,1,1,0
OH,12,0,72,80,278977.0,47815.0,351517.0,,61,0,8,0,12.538884162902832,10.775094985961914,12.770013809204102,,85.36837005615234,,-8,-0.23112964630126953,,,1,1,0
OH,14,1,60,75,264793.0,3021.0,419005.0,13244.0,52,0,4,0,12.486703872680664,8.01334285736084,12.945637702941895,9.491299629211426,98.87197875976562,96.93602752685547,-15,-0.45893383026123047,-1.477956771850586,1.9359512329101562,1,1,0
OH,15,0,59,75,242592.0,15977.0,211963.0,6682.0,62,0,24,1,12.399136543273926,9.678905487060547,12.264166831970215,8.807172775268555,93.82099151611328,96.94390106201172,-16,0.13496971130371094,0.8717327117919922,-3.1229095458984375,1,1,0
OH,16,0,59,79,156205.0,68021.0,94492.0,,57,0,18,1,11.958924293518066,11.127572059631348,11.456270217895508,,69.6640853881836,,-20,0.5026540756225586,,,1,1,0
OH,17,1,78,77,79064.0,1700.0,96003.0,2391.0,62,0,6,0,11.278013229370117,7.43838357925415,11.472134590148926,7.7794671058654785,97.89510345458984,97.56997680664062,1,-0.1941213607788086,-0.3410835266113281,0.32512664794921875,1,1,0
OH,19,1,65,70,229857.0,9508.0,226086.0,522.0,45,0,8,1,12.345212936401367,9.159889221191406,12.328670501708984,6.257667541503906,96.02782440185547,99.76964569091797,-5,0.016542434692382812,2.9022216796875,-3.7418212890625,1,1,0
OK,1,0,56,52,612116.0,406280.0,484585.0,253585.0,61,1,4,0,13.324677467346191,12.91479778289795,13.091048240661621,12.44345474243164,60.105892181396484,65.64680480957031,4,0.2336292266845703,0.4713430404663086,-5.540912628173828,1,1,0
OK,2,1,61,65,631839.0,62793.0,358705.0,81634.0,47,0,12,1,13.356389999389648,11.047598838806152,12.790255546569824,11.310001373291016,90.96025085449219,81.46110534667969,-4,0.5661344528198242,-0.2624025344848633,9.4991455078125,1,1,0
OK,5,0,70,72,373414.0,6277.0,318822.0,302.0,67,0,14,1,12.830443382263184,8.744647026062012,12.672388076782227,5.7104268074035645,98.34681701660156,99.90536499023438,-2,0.15805530548095703,3.0342202186584473,-1.5585479736328125,1,1,0
OR,4,1,86,72,217527.0,3343.0,279809.0,58563.0,54,0,4,0,12.290078163146973,8.1146240234375,12.541862487792969,10.977858543395996,98.48644256591797,82.69271850585938,14,-0.2517843246459961,-2.863234519958496,15.793724060058594,1,1,0
OR,5,0,45,50,884828.0,844797.0,559616.0,351806.0,50,1,,,13.693148612976074,13.646851539611816,13.235006332397461,12.770834922790527,51.1572151184082,61.40031814575195,-5,0.4581422805786133,0.8760166168212891,-10.24310302734375,1,0,-1
PA,1,1,79,76,234057.0,5969.0,234957.0,1643.0,66,0,10,1,12.363320350646973,8.694334983825684,12.367157936096191,7.4042792320251465,97.51318359375,99.30558013916016,3,-0.00383758544921875,1.290055751800537,-1.7923965454101562,1,1,0
PA,2,1,92,94,814125.0,506.0,660456.0,,91,0,12,0,13.609869003295898,6.226536750793457,13.40068531036377,,99.9378890991211,,-2,0.2091836929321289,,,1,1,0
PA,3,1,60,63,277011.0,74417.0,250480.0,23101.0,48,0,8,0,12.53181266784668,11.217439651489258,12.431134223937988,10.04763126373291,78.82439422607422,91.55606842041016,-3,0.1006784439086914,1.1698083877563477,-12.731674194335938,1,1,0
PA,4,1,56,70,132920.0,8837.0,90710.0,,54,1,8,0,11.797502517700195,9.086702346801758,11.415422439575195,,93.7660903930664,,-14,0.382080078125,,,1,1,0
PA,5,0,57,78,672705.0,26396.0,444205.0,,65,0,16,0,13.419062614440918,10.180967330932617,13.00404167175293,,96.22429656982422,,-21,0.4150209426879883,,,1,1,0
PA,6,1,57,63,191512.0,71317.0,121435.0,12002.0,38,0,22,0,12.162705421447754,11.17488956451416,11.707134246826172,9.392828941345215,72.86563110351562,91.0054931640625,-6,0.45557117462158203,1.7820606231689453,-18.139862060546875,1,1,0
PA,7,0,65,68,480165.0,109618.0,507360.0,203582.0,60,0,4,0,13.08188533782959,11.604757308959961,13.13697624206543,12.223824501037598,81.4138412475586,71.36447143554688,-3,-0.055090904235839844,-0.6190671920776367,10.049369812011719,1,1,0
PA,8,1,57,57,826742.0,142957.0,1089612.0,507682.0,38,0,8,0,13.625247955322266,11.870299339294434,13.901331901550293,13.13761043548584,85.2575912475586,68.21611785888672,0,-0.27608394622802734,-1.2673110961914062,17.041473388671875,1,1,0
PA,13,0,60,67,235766.0,39173.0,225412.0,60672.0,56,1,22,1,12.37059497833252,10.575742721557617,12.325685501098633,11.013237953186035,85.75211334228516,78.79224395751953,-7,0.04490947723388672,-0.43749523162841797,6.959869384765625,1,1,0
PA,15,0,61,57,577790.0,102312.0,752332.0,355016.0,55,0,12,0,13.266965866088867,11.535781860351562,13.530933380126953,12.77991771697998,84.95637512207031,67.93997955322266,4,-0.26396751403808594,-1.244135856628418,17.016395568847656,1,1,0
PA,18,1,49,63,717124.0,251496.0,321074.0,16349.0,46,0,,,13.483003616333008,12.435182571411133,12.679427146911621,9.701922416687012,74.03563690185547,95.15474700927734,-14,0.8035764694213867,2.733260154724121,-21.119110107421875,1,0,-1
PA,22,1,63,72,191739.0,3258.0,183335.0,,65,0,14,1,12.16388988494873,8.088869094848633,12.119070053100586,,98.32920837402344,,-9,0.04481983184814453,,,1,1,0
PA,23,0,59,62,338431.0,6765.0,336675.0,106463.0,56,0,12,1,12.732075691223145,8.819517135620117,12.726873397827148,11.575552940368652,98.04024505615234,75.97520446777344,-3,0.005202293395996094,-2.756035804748535,22.065040588378906,1,1,0
